Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,47µF,C3349
C11,0402,1,100nF,C307331
"C12, C25, C30, C8",0805,4,100nF,C49678
"C13, C14, C15, C16, C17, C19, C2, C21, C29, C5",0603,10,100nF,C14663
C18,CP_Radial_D10.0mm_P5.00mm,1,470µF,C88732
"C20, C24",0805,2,10µF,C2932476
"C22, C28",0603,2,1µF,C5673
"C23, C33",CP_Radial_D10.0mm_P5.00mm,2,680µF,C357636
C26,0805,1,0.47µF,C13967
C27,0603,1,1nF,C100040
C3,0603,1,470pF,C1620
"C31, C32",0603,2,22pF,C105620
"C34, C9",0402,2,4.7µF,C23733
C35,CP_Elec_8x10.5,1,220µF,C4747976
C4,0603,1,220nF,C21120
C6,CAP_TR3B_VIS-M,1,10µF,C128259
C7,0402,1,2pF,C1558
CN1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Solar Panel,C33132
CN2,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,1,Auxilary Conn,C2908615
CN3,JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal,1,Aux Conn 2,C491718
CN4,TE_2199119-4,1,APCI0136-P001A,C841670
CN5,JST_XH_S7B-XH-A_1x07_P2.50mm_Horizontal,1,RS232 Conn,C2908616
"D1, D2",DPAK_VIS,2,50WQ03FN,C222476
D3,0603,1,Green,C72043
"D4, D6",0805,2,Red,C84256
"D5, D7",D_SMA,2,RB050L-60TE25,C209642
J1,Round nut stand off,1,Screw_Terminal_01x01,C7528082
"JP3, JP4",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper,
"L1, L2",RootSMD Power Inductors,2,33µH,C497840
L3,L_Sunlord_MWSA1004S,1,15µH,C475916
LED1,0603,1,Blue,C2288
LED2,0603,1,Green,C12624
Q1,SO8_SOP-8L_AOS,1,AO4459,C49047
Q2,SOT-23,1,IRLML6244,C143946
"R1, R17, R18, R25",0805,4,100Ω,C17408
R10,2512,1,0.1Ω,C2960832
"R11, R20, R36, R7, R9",0805,5,4.7kΩ,C60816
R13,0805,1,340kΩ,C269564
R16,0805,1,33.2kΩ,C3016779
R19,1206,1,66mΩ,C2988665
"R2, R30",0603,2,10kΩ NTC,C25804
"R21, R33, R34, R35, R37, R39",0603,6,100Ω,C22775
"R22, R23",0805,2,5.1kΩ,C27834
"R24, R28, R40, R45",0603,4,10kΩ,C25804
R26,0805,1,4.99kΩ,C17677
"R29, R31",0805,2,2.2kΩ,C17520
R3,0603,1,13.7kΩ,C203293
R32,1206,1,1.8MΩ,C2933615
R38,0805,1,20kΩ,C114566
R4,0603,1,120Ω,C22787
R41,0805,1,200kΩ,C2907238
R42,2512,1,10mΩ,C105366
R46,0805,1,100kΩ,C149504
R5,0805,1,243Ω,C5159715
R6,0603,1,68kΩ,C163940
R8,0805,1,255kΩ,C3016493
SW1,SW_500ASSP1M6QE,1,500ASSP1M6QE,C2884775
SW2,430182043816,1,Telemitry Switch,C495902
U1,TSSOP-16_4.4x5mm_P0.65mm,1,CN3722,C77905
U10,TO-263-5_TabPin3,1,LM2596R-5.0,C77782
U11,TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX17261xxTD,C7457893
U13,SOP65P640X120-14N,1,SN74LVC08APWR,C465737
U14,SOT-563,1,TMP102AIDRLR,C99269
U15,SON50P200X200X80-9N,1,TPS22965DSGR,C122837
U2,LGA-16_3x3mm_P0.5mm,1,QMC5883P,C2847467
U3,TO-263-5_TabPin3,1,LM2596R-3.3,C90690
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,C138706
U5,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,1,ENS210-LQFM,C2991202
U6,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Battery Socket,C2908600
U7,XCVR_ESP32-S3-WROOM-1-N8R2,1,ESP32-S3-WROOM-1-N8R2,C2913204
U8,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Fan Connector,C161871
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,C18261
USB2,GTUSB7090,1,GT-USB-7090C,C3019716
