Designator,Mid X,Mid Y,Rotation,Layer
C1,125.0,-130.55,270.0,bottom
C11,156.25,-73.0,270.0,top
C12,126.55,-140.5,180.0,top
C13,151.75,-96.25,90.0,bottom
C14,148.75,-96.25,90.0,bottom
C15,151.75,-91.75,90.0,bottom
C16,148.75,-91.75,270.0,bottom
C17,163.5,-96.75,90.0,bottom
C18,174.0,-134.75,90.0,top
C19,123.3,-85.75,0.0,top
C2,146.75,-133.975,90.0,bottom
C20,126.05,-75.5,180.0,top
C21,126.27,-77.75,180.0,top
C22,124.0,-83.0,180.0,top
C23,174.25,-145.75,90.0,top
C24,123.3,-87.75,0.0,top
C25,152.5,-47.25,90.0,bottom
C26,150.0,-45.55,90.0,bottom
C27,162.25,-64.525,270.0,top
C28,158.975,-66.05,0.0,top
C29,164.5,-63.28,270.0,top
C3,137.75,-129.975,90.0,bottom
C30,166.75,-79.2,270.0,top
C31,131.28,-147.75,90.0,top
C32,129.5,-147.75,90.0,top
C33,164.75,-126.5,90.0,top
C34,166.0,-63.05,270.0,top
C35,127.0,-103.0,90.0,bottom
C4,143.5,-129.975,90.0,bottom
C5,131.5,-128.5,270.0,bottom
C6,164.260937,-142.25,0.0,bottom
C7,148.75,-129.77,270.0,bottom
C8,160.75,-79.2,270.0,top
C9,162.02,-71.02,270.0,top
CN1,129.5,-121.25,90.0,bottom
CN2,171.0,-64.75,270.0,bottom
CN3,171.0,-88.5,270.0,bottom
CN4,143.0,-83.0,0.0,top
CN5,171.05,-113.25,270.0,bottom
D1,136.75,-145.75,90.0,bottom
D2,153.5395,-140.75,270.0,bottom
D3,135.75,-132.4625,90.0,bottom
D4,133.25,-132.25,90.0,bottom
D5,165.25,-146.0,0.0,top
D6,153.0,-71.71,90.0,top
D7,133.25,-106.0,270.0,bottom
J1,143.0,-116.5,0.0,top
L1,165.5,-140.0,90.0,top
L2,138.5,-104.25,270.0,bottom
L3,157.25,-130.0,270.0,bottom
LED1,164.55,-151.25,0.0,top
LED2,150.0,-71.2,90.0,top
Q1,125.0,-146.0,270.0,bottom
Q2,143.75,-52.25,270.0,bottom
R1,151.0875,-62.25,180.0,top
R10,134.25,-136.25,270.0,top
R11,151.0875,-64.25,180.0,top
R13,147.5,-126.8375,270.0,bottom
R16,122.75,-83.3375,90.0,bottom
R17,123.3375,-95.25,180.0,top
R18,123.3375,-92.25,180.0,top
R19,145.5,-138.5,90.0,bottom
R2,141.5,-130.0,90.0,bottom
R20,136.3375,-50.75,180.0,bottom
R21,161.75,-104.675,270.0,top
R22,133.28,-147.55,90.0,top
R23,135.5,-147.55,90.0,top
R24,167.75,-148.425,270.0,bottom
R25,163.4125,-154.75,0.0,top
R26,122.75,-77.8375,90.0,bottom
R28,123.925,-80.5,0.0,top
R29,135.75,-128.5,270.0,bottom
R3,142.925,-125.25,180.0,bottom
R30,154.0,-44.5,180.0,bottom
R31,133.5,-128.5,270.0,bottom
R32,163.75,-53.7875,270.0,bottom
R33,164.0,-96.825,90.0,top
R34,161.5,-96.825,90.0,top
R35,164.0,-93.575,90.0,top
R36,165.5,-105.3375,270.0,top
R37,161.75,-101.175,270.0,top
R38,125.0,-138.1625,270.0,bottom
R39,161.5,-93.575,90.0,top
R4,143.5,-133.25,90.0,bottom
R40,144.5,-96.25,270.0,bottom
R41,161.25,-53.2,90.0,bottom
R42,153.0375,-55.75,0.0,bottom
R45,143.825,-55.5,180.0,bottom
R46,161.384301,-54.18675,0.0,top
R5,151.0875,-60.25,180.0,top
R6,145.5,-130.0,90.0,bottom
R7,151.0875,-66.25,180.0,top
R8,138.5875,-125.25,180.0,bottom
R9,132.8375,-50.0,0.0,bottom
SW1,153.7,-151.6,0.0,top
SW2,154.0,-152.5,180.0,bottom
U1,138.25,-137.5,90.0,bottom
U10,155.125,-105.25,180.0,bottom
U11,152.75,-51.0,0.0,bottom
U13,163.8,-86.7,0.0,top
U14,164.0,-78.85,90.0,top
U15,159.265,-63.25,0.0,top
U2,158.77,-70.52,0.0,top
U3,149.5,-137.5,180.0,top
U4,126.75,-136.25,270.0,top
U5,157.5,-79.0,270.0,top
U6,159.325,-44.975,180.0,bottom
U7,133.27,-63.5,90.0,top
U8,141.575,-44.6875,180.0,bottom
U9,157.525,-92.925,90.0,bottom
USB2,140.19,-154.2,90.0,bottom
